clip	ending0	ending1	ending2	ending3	ending4	label
video8631	one man is criticizing the actions of another in an unknown context	a lot of people walking around a small space woman falls to ground	an interesting scene of wrestling	a sloth is climbing in a tree	one man is discussing the actions of another in an unknown context	4
video7259	a baseball player walks to home base	dramatic music overlaps panning footage of mountain range	a baseball player slides into home base	girl in waiting area seeing report about herself	a girl is putting on red lipgloss	2
video7258	a gamer and his cat attack a minecraft enemy	a video compilation of men singing	clip showing a demonstration on a street and then police in riot gear in a different clip	a video compilation of men wrestling	a woman carving a watermelon	3
video7250	little singer singing on music reality show	a horse is chasing a lady	a horse is kicking a lady	a pirate is working on his ship	a man tells a sad story about a girl	2
video7253	two men are singing into the microphone	a man and woman posing for photos	two people are running into a doctors office in order to be treated	a group of cars is driving down the road in a game	two people are walking in to a doctors office in order to be treated	4
video7255	a man is showing how to draw patrick the starfish from spongebob	a animated car is crashing into anything that is in its way	red crabs are being cooked and cracked open to be eaten	a group of men are pushing a car inside a warehouse	a animated car is pushing anything that is in its way	1
video7254	a woman is displaying a bowl with a delicious curry noodle soup	various sports clips are shown in a frame	a news attack about a terrorism attack	inside a pet s cage which has been filled with various toys such as a miniature ladder made of sticks an indigo tubing piece	a woman is filling a bowl with a delicious curry noodle soup	4
video7257	behind the scenes of a newscast	a man tells of some celebrity gossip concerning rap stars	a man is repairing something	a man is cooking something	a woman is applying cream on her arm	2
video7256	a person is clicking different things on a iphone	there is a black suit man standing in the road	going over the oils that will be used in the kitchen	there is a black suit man walking on the road	two persons are clapping their hands	3
video8742	social networks icons keeps appearing on a dark screen	the cars crashed into one another	a man compares football to war tactics	a man points from football to war tactics	a woman dances in the background while a guy doesn t move	2
video8740	a man rides a very large golden eagle as it flies through some mountains	a group of people are dancing outside	a group of people are chanting outside	a girl with pig tails sits on a couch	person doing a science project	2
video8037	a girl lays in bed and uses her phone	someone is playing a racing video game	a boy sings in his beach house	a mother and two children decorate easter eggs	a boy walks around his beach house	2
video8031	men moving an engine	in the beauty lady is decorating the black gown like as heaven	its a funny clips video	in the beauty lady is walk the black gown like as heaven	a woman talking to a young man	3
video7929	a gamer is driving a virtual jeep the wrong waz down a street	a player sharing his experience	a group of kids perform on the voice	a woman is exercising	a gamer is testing a virtual jeep the wrong waz down a street	0
video8033	a man and a woman laying in bed while someone walks in	a man and a woman laying in bed while someone sings	a girl and two men posing for a photo	a girl kissing a star	cartoon animals and buildings move to music	0
video7927	there are two men going at it in wrestling	many men in a studio talking	there is someone playing with a aircraft	a talk show host and a man are talking to each other	there is someone traveling in a aircraft	4
video7926	someone is drawing a picture of different people sitting in steps to represent their salaries	someone is drawing a picture of different people standing on steps to represent their salaries	cartoon characters laugh as they go off into the distance while a newscast takes over afterward	a car is being driven	images of a monster truck and construction equipment is shown while an advertisement for a website plays	1
video8748	a man creating sparks with a device	a cat watches boxing on tv and pretends to fight in air	players are playing in the stadium	a cartoon involving animals	a cartoon cast of animals	3
video8749	a crowd of people are singing about marijuana	two men are smoking bacon	there is someone is serving food on the table	a man operates a machine in an assembly line	a crowd of people are smoking marijuana	4
video8038	anchor revealing news about selena gomez	father tells kids that he ate all their halloween candy	a girl is smiling	a girl is singing	a cartoon about a stork	2
video8039	a man gets his equipment ready	a family is standing next to an ambulance	a family is sitting next to an ambulance	three women modeling down the runway first one in a black button down shirt dress and burgundy stilleto heels a gold shirt and blue jeans with gold sandals the third model had a white one shoulder jump suit on with gold sandals	a man talks about the different interracial couples on reality shows	1
video7921	a woman holds a green and white tool and points at jars and cans	a woman talks about music	a woman holds a green and white tool and opens jars and cans	people are walking	a video game mortal kombat fatality	2
video7920	a girl is dancing on stage	a girl is singing on stage	a man in a red tunic presenting a technical talk at a ted conference to audience applause	a photo of a family	a line of horses race around a track they reach a hurdle to jump over and continue	1
video9763	a man is waving to a woman	guy singing song on stage	a woman shows us how she stores things in her refrigerator	woman is preparing food	a man is kissing a woman	0
video7800	animals in ski clothing are riding jet packs over a mountain	a woman in a blue shirt with glasses and a necklace walks with a group of people	a lady talking of something about the corruption in media	a man drives a car and talks to the camera	a woman in a blue shirt with glasses and a necklace sings a group of people	1
video7037	a basketball player dunks in a game	man is on his terrace and watching the big mountain	a basketball player scores in a game	music plays as a text explanation about nasa is scrolling on screen	woman claims victory over her trophy	0
video9760	a commercial about mtv on the moon is played	a person fries dough in hot oil	a news reporter in ohio talks about a water emergency	a strange young man holds up a small doll and twitches	a person rubs dough in hot oil	1
video9767	a man in a black hat throws a dumpster	a man is leading a woman with a horse down a road	a man and a woman stand in a bedroom	a lady talking with a man and a small girl comes in between them	a man in a black hat jumps out of a dumpster	4
video7030	a group of people are dancing on the floor	a man in a grey hat and grey hoodie is holding and speaking about potatoes	lady gaga is singing	a man drives aroud curves through a wooden mountainside	a group of people are wrestling on the floor	0
video9765	a woman is talking about women s rights and feminism	a woman instructs on gymnastics technique while young female gymnasts practice on the bars	a group of people are horse racing	a group of people are horse walking	a infowars segment with larry nichols	2
video9764	a man avoids doing dishes	a man is laying in bed with a woman while talking to her	cooked sliced sausage is spooned out of a white bowl by a red spoon then chopped onions are added to the bowl	a man prepares dishes	a commercial for edible blooms company	0
video9769	a man is checking out a red sports car that he likes	a group of people are dancing	a group of people are singing	a boy is performing a song	man demonstrating gardening techniques	1
video9768	a cartoon about princesses	a boy speaks to into a microphone to several judges then the scene cuts to a girl looking up & crying	a lady talking of something about the hand made products	a boy speaks to into a microphone to several judges then the scene cuts to a girl looking up & laughing	a woman is hosting a show and talking to two children	1
video7039	a band covers a song	prank camera short sequence	a man discusses how hard a pitch is thrown	a group of musicians are greeting fans and giving out autographs and then performs on stage	a band preforms a song	4
video7802	a bunny and a kitten are eating	a young female artist sings on stage	a man is talking about a visual treat for the viewers	several students are studying in a classroom on a beautiful day	a bunny and a kitten are laying	0
video8136	a woman is interviewing a man who has just written a book	a cartoon shows little kids in costume looking for another friend	a man talking to another man	a woman is hugging a man who has just written a book	a kids show with a glass slipper	0
video8131	someone wearing gloves is preparing some kind of fish or sea animal for diving	animated clip of a man flying through the air	the clashes between the players are seen in the rugby match	someone wearing gloves is preparing some kind of fish or sea animal for cooking	the installation of some software is progressing	3
video8130	a video about pets doing funny things	a scene from a tv comedy is displayed while a man with comically large breasts dances	people walking in a it exhibition	people assembling in a it exhibition	sitting beside a man a woman is looking at herself in a special mirror	3
video8133	somebody is exploring a bar graph	a chief deputy saying something should have been done a long time ago as a girl leaves a house with a dog	it looks like a man sitting and laughing in a clip	a foreign hollywood film on different actors pictures in different scenes	it looks like a man sitting and watching a clip	4
video7505	a man is talking to some people near cars	there is a man in blue is swimming in the sea	morgan freeman and brad pitt are playing characters in a movie together	stirring churros mix in a pot	there is a man in blue is standing near the sea	1
video7807	a woman demonstrating a piece of nail design	a cartoon girl argues with a monkey	a man taking apart a water cooling system as he holds a part in his hands	a cartoon girl chases a monkey	guy reviewing a car	1
video9155	a man in his kitchen mixing some chocolate pieces and cream in a bowl	a person playing mortal kombat	a man made a copper frame doing experiment by sticking magnet with duracell battery	an asian woman is wearing a blue vest and cooking in her kitchen	a man made a copper frame doing experiment by moving magnet with duracell battery	2
video8967	models are walking down a runway	a group of men are celebrating after indoor soccer	a man is being interviewed on a bike	a group of men are playing indoor soccer	fishes are falling down	3
video8964	a female judge talks to a young performer	a group is laughing	a guy talking about his life	a man giving a little girl cpr at a store	a group is dancing	1
video8965	flight is getting trouble and air passing through the wings the pilots trying to land the flight	a woman with specs is playing with a cat	a man is speaking on a news program about marriages and the christan church	a woman with specs is walking with a cat	a display of fireworks is shown	1
video8962	clip showing person mole	a performance by young boy	a doctor is performing a medical procedure	a doctor is recommending a medical procedure	the girls and the boys are performing dance	2
video8963	a lady in a black tshirt talking about a species sitting in front of a cabinet with large jars	scene from a car video game	a lady in a black tshirt talking about a species standing in front of a cabinet with large jars	a person shows the best beat drops in sporting footage	a woman demonstrates how to cook	2
video8960	people singing and dancing on a beach	reported telling of the change of hosts on the late show	a man discussing policies and reforms within a country	a designer speaks about designing and creating his own textiles while we see a large version of a design the designer speaks about art and fashion together and it being a total self expression	a man points to policies and reforms within a country	2
video8961	a costumer maker is being highlighted and the actor giving feedback	a kid getting out of a mini toy police car	a man discusses the score of a football game while pitures of it are shown	a boy jumping on a trampolene next to four other trampolenes	a boy sits a trampolene next to four other trampolenes	3
video8968	a man is sitting at the wheel of a car	a man has prepared a crust in a round metall pan and placed in it a water bath	a woman is folding origami	young ethnic female in her bedroom talking into a microphone about a fashion show she is about to have	a man is working on the wheel of a car	4
video8969	a man is discussing phones	a group of models walking down a runway during a fashion show	a person is showing how to fold paper	a video showing pictures of a cartoon	a man is playing with phones	0
video7101	a person playing a video game and laughing	man and woman are dancing and having good time	a video about a formula one car being built	two women stand with aprons and preparing a food item	a person playing a video game and commentating	4
video7100	a bunch of puppies laughing when called	an earnest young boy sings and plays the guitar on stage	footage of beyonce and sean paul	a bunch of puppies run when called	man talks about dancing performance	3
video7103	a strand of dna turning while information on dna is being displayed	a strand of dna testing information on dna is being displayed	a young girl confesses her attraction to an older man	footnall players are running	a woman is instructing how to cook something	0
video7102	a clock is shown moving quickly	there are many woman with their head covered in cloth sitting down and eating	friends are standing near the play ground and see the players playing the fight	a sport team is playing sport	friends are standing near the play ground and see the players playing the skating	4
video7105	a man discusses a car	black haired woman is sitting and waiting for the make up	a girl is asking what is in your hand the man is showing a bottle in his hand	a boy and woman talk to each other	a man works on a car	0
video7104	a guy with a guitar singing about a song	a man is discussing cheating	a guy with a guitar playing a song	a girl introduces a barbie doll fashion show	guy talks to other guy while holding a guitar	2
video7107	one cute sexy girl is walking with her friends in the joyful mood a beggar begs something for his hungry	a band is playing a song	a woman and a horse are walking around on stage	a woman doing a news report on gun control	a woman and a horse are swimming around on stage	2
video7109	3d animated sequence with women dancing	beautiful woman are walking a runway in a fashion show	a cartoon cat is being drawn	3d animated sequence with women fighting	a king and different people from italy are shown and the speaker is talking about the renaissance and how wealthy the italian states have been	0
video7108	a lady doing different activities like shopping	some one giving demo about phone	a lady doing different activities like dancing	photos of a male are being shown and the police are looking in a field	steven hawking is being interviewed by john oliver on the daily show	0
video9855	and an adventure time character are in a video game	video of racing game with car collecting coins	a person looking at the camera and talking	a child argues with a nanny	a child plays with a nanny	3
video9754	more words are displayed one by one on the screesome peoples are praying	hillary clinton speaks to a crowd	a man voice is telling some thing in the scene	a woman with purple hair shows us her multi tasking skin serum	more words are displayed one by one on the screesome peoples are running	0
video7658	a person is watching dragnet	a person wearing brown coat and having mic in his hand	a women is doing makeup with brush for her face	there are many athletes participating in a swimming race competition	there are many athletes participating in a running race competition	4
video8508	a series of clips is shown displaying the struggled of self worth and everyday life	there is a food court a woman selling watermelona	there is a food court a woman cuting watermelona	a person crafting a flower	a cartoon woman with a tennis rack	2
video9850	a woman is coloring her eye lid and make up	a woman is talking about education	there is a machine operating someone in factory	there is a machine repairing someone in factory	cartoons are falling down	2
video9852	a man and a girl is dancing where more plates are broken	a woman interviewing another person on a news program	there is a woman making a dish with milk and eggs	a man is explaining something to his fellowman	a man and a girl is walking where more plates are broken	4
video9532	there is a man wrestling for an award in a show	a man dances with his cat	there is a man receiving an award in a show	a wrestler talking on the wwe	a man is walking through the woods in a thick brush area	2
video7749	a person is explaining something	a woman walks with make-up on camera	two people are playing guitar	a woman applies make-up on camera	group of people are with their dogs on the snow	3
video7748	a basketball player sinks a jump shot	a man works on a rubex cube	a woman with brown hair and a blue shirt is talking about online courses	a man points at a rubex cube	a man shows a selfie stick witha cellphone attached to it over a white background	3
video9533	a woman in blur wearing spects standing near a car	a lady coaching cartoon characters	some young women walk in the city wearing various clothes	a woman in blur wearing spects sitting in a car	a man is doing science experiments	3
video7742	targeting system approaches large structure with green indicator lights	a man pointing icons on a computer	spongebob squarepants and patrick star talk to squidward tentacles who ends up yelling at them	someone is showing game instructions	a man creating icons on a computer	4
video9501	clip of tv show	a person sings slowly for a huge audience and a panel of judges	a man interviews people in a room	a chef shows how to cut croquettes	a chef shows how to fry croquettes	4
video7740	a woman in white boots is kicking her legs	a woman in white boots is combing her legs	someone is talking about video game play while driving car in the game	a person plays a puzzle game	a is shown talking in the bottom left of a screen while a video game is shown	0
video9507	people talking about a fight	two women outside are talking to each other	a group of woman are interviewing a single woman	a group of woman are bathing a single woman	the after effects of a nosejob	3
video9858	chefs making all the food on a little white plate look its best	showing the peace and beauty of a tourist area	a horse is wandering here and there	clips for david letterman are shown	a horse is jumping here and there	2
video9531	interview about throwing explosives	a man talks about hunted while playing it	a grey and white cartoon puppy is getting fed and eating food	interview about manufacturing explosives	there is a man and woman in the woods	0
video9670	person is flying with airplane and walking on the windmills	a black lamborghini is driving on a street out side	a cartoon santa claus is sneaking around doing things	man in front of audience shows them how to play mario game	person is flying with airplane and recording the windmills	4
video7777	a woman arranges a potato on above a white plate	a cartoon baby being rained on	a woman peeling a potato on above a white plate	short clip showcasing a lacrosse game taking place	a girl is talking about the mice and she is looking for the cage of mice and she wants the mice to be looked very careful	2
video8724	two police officers are frozen in slow motion	a group of people sit in a room together near car parts	students are sitting in class	a video clip of baby muppets	a group of people standing around a room together near car parts	4
video8438	someone is playing minecraft	a music video of a younger girl playing the guitar in an outdoor setting	a man on stage gives a talk about who had happy lives and who didn t at an event he attended	an industrial kitchen is surveyed with a man giving orders	a man on stage gives a talk about who had happy lives and who didn t at an event he missed	2
video7774	a man is singing for a parody video	a man is playing a parody video	a man playing minecraft	a girl sitting on the green chair with black over coat speaks about some program	a lady wearing black color dress is talking with amna	0
video8725	a group signs autographs before heading out	a group signs autographs before singing	a woman is cooking something and a man is talking about something	obama and his family listening to a man sing	a shot of fox news where the news host is talking about the book of regan	1
video8649	a person is mixing food on the table	pope gets handed a pizza and a bus falls into a pot hole and floats away down a river	a person is displaying food on the table	a person is using a computer program	a old man walking and many persons walking taking camera photo displaying on screen	2
video7245	a man is talking and some young children are eating	a car is standing in front of a large building	a car is sitting in front of a large building	a person is playing a video game	a woman is on the tv	2
video8720	characters are talking to each other	a man cooking food	someone is playing a video game	a band performing a song	a band covers a song	3
video7636	nick fury hugs a jailed loki	nick fury threatens a jailed loki	a foul mouthed indian man acts out a scene in a small room	a man in a suit is talking about the animation of a movie	people are playing basket ball	1
video7778	a man is pulling a car with large tires around a smooth track	a man is racing a car with large tires around a smooth track	spanish ash and misty meet togepi	a man talking about a falcons football game	an animated train rolls around a track	1
video7328	a skier is standing on the corner of a mountain	a skier is sliding down the corner of a mountain	report showing features of the inside of a car	a short advertisement for a car that is on sale	the chef sprinkled in some salt	0
video9217	a male in black shirt speaking about computers in a room	spanish review of features on a honda	a man is posing	a man is singing	there is music playing while the camera shows what looks like a city	2
video9216	a woman and a man make love on a bed together while the man is on top	a man is talking to a girl standing in a stage	a band is singing	the man waters the plants with a hose	a band is recording	2
video9215	a football player sits on the bench	there is a posh car falling down front of a building	someone walking down stairs and a walkway next to a large waterfall	there is a posh car moving in front of a building	a phone rings and then people yell at each other	3
video9214	little girl shoots her toy arrows	a car is racing down the road	a car is moving on the road	joan jett is performing onstage	a good financial plan is a road map that shows us exactly how the choices we make today will affect our future	2
video9213	a person talks about people wearing google shirts	someone is filming a misty mountain landscape	a woman turns over a fish fillet with a black spatula	a woman presses a fish fillet with a black spatula	an animated person falling asleep on a couch	2
video9212	a child preforms a song on stage	people walk by a shop on the street while a guy talks	a helicopter flies over a densly wooded mountain covered in trees and snow	a child picks a song on stage	two men in gta hunt each other	0
video9211	a couple is kissing each other	a woman is talking	a man is paddling a row boat	a couple is holding each other	a brown horse standing inside house compound still image displaying on screen	0
video9210	a female folding a piece of paper in half	a female slices a piece of paper in half	a man is talking to a woman in the audience	a lady is played with bottls	a man displays his car	0
video8723	the woman applies make-up	a woman in a bikini poses beside a lake	someone is making a fried treat over the stove	the woman walks with make-up	someone is playing a game	0
video9219	a collection of film footage with different people dancing	a collection of film footage with different people singing	an indian man in black talks about unrealism in film	three persons ready to prepare the dish	a woman is swimming	0
video9218	a woman discussing food in a pot	cats are walking around in someone s home	a woman and man talk on a balcony overlooking a city	someone is playing a video game where they have a horse	a woman stirs food in a pot	0
video7325	some people on the beach are doing some things	the video game featured life like graphics	squidward is talking to spongebob	finn and jake hold white megaphones and discuss meeting their friends	finn and jake hold white megaphones and discuss filming their friends	4
video7988	a man seems to be describing tactics in a video game	a man is cutting meat	a person shows a gauge in a room	a woman is talking to a man while getting ready to go out	a man is frying meat	1
video7321	man reviewing a new motor cycle part	a plays with a small pie type food	a group of llamas with young walk in concrete enclosure with plants	two boys wrestling with the announcers introducing each wrestler	a prepares a small pie type food	4
video7679	a group of people are running up and down	a car driving down the road	a girl singing on stage	kids are watching video clips	a group of people are jumping up and down	4
video7320	a woman shows how to paint nails	a video about a person driving a car	the person is drawing a sketch	a video about a person selling a car	a scientist is talking about potential earthquakes	3
video9178	a guy is holding a guitar	butch of people singing in their university room and making better future for their countries	models are walking down the runway	butch of people walking in their university room and making better future for their countries	a man is trying to kiss a woman	3
video9179	a cartoon cast of animals	two people are wrestling	a cartoon involving animals	a make up artist applies special effects make up to a man while explaining his techniques	mens running race players running so fast for championship	2
video8645	there is a man is shouting with a person	a man reviews his dog figurines	there is a man is walking with a person	a picture of multiple hamburgers is shown with french fries lying next to one of the burgers	a woman list ingredients for cooking along with the items and a brown sauce	0
video9173	a man performs on stage sounds with his mouth	a woman cooks meat on the stove and then adds red onions to the pan	minecraft zombie killed with thrown sword	a woman with long dark curly hair is holding up a lime green dress	a woman with long dark curly hair is dancing in a lime green dress	3
video9170	a woman talks to her animals while she records them	a woman talks to her animals while she feeds them	a man talking in front of a logo about swimming	the boy is bycycling on a cycle in a nature farm	bill murray in beach costume on late night talk show	0
video9171	a clip showing a man walking on a roof	spongebob talks to patrick	a negro man is putting net into the river for getting fish	a man is talking about making it easier for kids to learn while scenes of a school are shown	a clip showing a man working on a roof	4
video9177	several boxes are outside of a truck a fairy godmother appears next to a you lady that is crying on stone bench	a couple on the beach fighting	a man laying in bed	a man crying in bed	some animated characters are falling	2
video9174	a dog is laying down	a lady wearing a striped apron preparing a food dish on the stove	a boy singing in the car	a woman is rolling doe	a boy driving the car	2
video9175	a woman yelling at people then getting a ball thrown at her	a video segment shows a soldier at battle	a woman is holding some kind of object	a man and woman is lying on a bed	a man and woman is kissing in a bed	4
video9003	a man cooks shrimp in a skillet then begins to prepare a sauce	someone is driving a large car through a busy city street	michelle phan is doing a contest on her you tube channel	a red jersey man is playing a with someone	a red jersey man is running a with someone	3
video9379	two older grey men on photos one is a moviestar and the other one was a politician	bunch of people in suit and tie discussing about some topic	bunch of people in suit and tie laughing on some topic	a child is in class in a cartoon	a woman in a lime green shirt is running down a dirt road through the forest	1
video9375	a group of men singing	an animated player are running in the playgrond	a group of men wrestling	documentary about the university of missouri where many talented people are shown walking and studying	the man speaks inappropriate languages as he plays the video game	2
video9376	horses are warming up a track for a race	a cartoon boy holds his hands to his face	a girl is watching a video	horses are running on a track for a race	a child is walking with large yellow boots	3
video9377	a man discussing a jeep s technology	a couple men dressed up in a city	a intro to a movie trailer	a man displays a jeep s technology	a person explains about a electronic device	0
video9371	a man talks about where he s driving to in his car	a man talks about where he s putting in his car	here the women is peeling the skin of the potatoes by her knife and while doing this she says about he olden days	woman teaches veiwers how to cook	horse jockey s racing on a grassy track with an announcer commentating	0
video9372	a video panning around a car	a lady doing some crazy dances	a man cooking cutladoo	a man singing cutladoo	the ingredients are placed in different bowls in a table	2
video9373	a band plays on a stage as lights flash and a man sings at a mic	more pictores are displaye	a woman explaining what she puts in her purse	looking under a car	a woman explaining what she loves about her purse	2
video9432	patrick and sponebob in minecraft	there  is baby elephant standing with his  mother	there  is baby elephant playing with his  mother	there are two people discussing about the game	a man is singing and a woman is dancing provocatively in a music video	2
video9430	a hockey player records a goal	the man laughs loudly	a man is jumping around in front of a camera	a hockey player scores a goal	a man is eating with chopsticks in the snowy wilderness and another man is calling someone on his phone	3
video7022	a man looks at disks in the light to examine hte finish and luster	in a 100 meter race track runners starts running and finishes the line	there is a brown hair woman running on the ramp	a person is explaining about some sports events as weight lifting	there is a brown hair woman walking on the ramp	4
video8809	a videoon replacing the transmission pan gasket	a man standing in a kitchen takes a packet and talks about it	two kids wrestling in high school	a man sitting in a kitchen takes a packet and talks about it	various ingredients scroll past along with tools needed for making a meal	1
video9436	a band is singing a song and dancing	a lady scientist describes between the man and database	one old man inside car and talks about traffic	young girl preparing food in a kitchen	a band is singing a song and waving	0
video7675	a person is playing a game show on stage	a video where actors hold bones	a cartoon of a dog dancing	a person is filming a game show on stage	two guys are in a gym wrestling during a match	0
video7023	a young girl holding poweder to her face with a big puff	someone is driving a beautiful car	a kid playing with a toy in sand	a boy sings and plays guitar while people dance	a young girl applying poweder to her face with a big puff	4
video9859	a guy is singing on stage	a guy is dancing on stage	the man wearing a red hat play the guitar as he sing in to the mic	in the small children is making their beauty tips in very well	kids playing and running around a gym	1
video9538	a man is playing a video game	a man talking about something	a man is explaining how to use a program to watch movies	a man talks about the problem he s been having in his gsr	a man is explaining how to use a program to save movies	2
video9194	a basketball player is jumping	there is a man operating a mobile phone	a man is talking about boys dancing	boy singing and playing guitar in front of judges	a man is talking about boys wrestling	4
video9195	a lady talking of about some machine in the factory	a man points to a new picture of earth from space	music and advertisement about a website	a man discussing a new picture of earth from space	a man is doing some act	3
video9196	a dog in a colored shirt is sitting on a bed	like a ramp walk in a big building with solid music	a man is walking around in front of a camera	a man is jumping around in front of a camera	a woman talking about tv shows	3
video9197	a man holds a very large stick	people fall off bikes when they start to fall apart	a man is doing comedy on stage make making the crowd laugh	boys fighting in water and speaking about something	a man is doing comedy on stage make making the crowd cry	2
video9190	an ad for a movie is playing	a clip of two men arguing	a clip of two men wrestling	a person shows how to cook some food	a war scene is taking place	2
video8793	promo for worlds best sports vines	a man explain and how is taste the food	a man explain and how is prepare the food	a man is playing a violin very well	someone is showing video graphic	2
video9192	a guy filling a cup with water	a couple talks about their dancing studio	a guy splashing a cup with water	a person is chopping peppers	the beginning of a movie called the food store \( second edition \) produced by encyclopedia britannica films	0
video9193	a man discusses the risks of being kidnapped while visiting this desert	two skiers in red and yellow climb a snow covered slope	a reporter meets with a movie s director	a reporter comments on a movie s director	spongebob music video animation	3
video8351	a boy is on stage talking to some judges	a wide expanse of sinking watercraft are shown and narrated by a male speaker	a man is hitting a volleyball	a wide expanse of floating watercraft are shown and narrated by a male speaker	fried potatoes are being eaten	3
video8350	basketball players and cheerleaders sing and dance around	the breeding about the said images animals all are standing on the park	a dog with two leg is running	a dog with two leg is walking	video game showing a car moving fast	2
video8353	electronic piano playing performance	man shuts a land rover trunk and walks around it	man shuts a land rover trunk and opens it	people are walking on a beach	a gay guy with pink hair is talking about something	1
video8352	the man was working on the car s hatch	someone is stirring the dish that being cooked in a pan on the stove	a lady in a dark dress moves a small table to reveal a peephole	a man is on the church and going	someone is recording the dish that being cooked in a pan on the stove	1
video9199	a boy running on an road	a man is talking and sitting on the chair with blue shirt	a boy walking in an road	there is a man moving in to the darkness	a dog walking down stairs	2
video8357	person is preparing some food	a girl is walking with a hammer at a screen	commercial for disney channel	a girl is throwing a hammer at a screen	two people are skiing down a snowy hill covered in trees	3
video8431	there is a posh car moving on the road	there is a posh car standing on the road	rugby players are dashing to each other	few woman are doing funny things	a colorful compact car is driving to the tune of children singing	0
video8135	a tall elderly man with a grey suit and blue tie being interviews outside of a swankly looking hotel	a father and his son dancing in the kitchen	a man is in syria recording the battlefield where helicopters are shooting at their enemies	several images of people dying followed by four naked men playing cards at a table	a father and his son sit in the kitchen	1
video7801	a child and father dancing to the song wake up me	a boy is on stage talking to some judges	a person is starting a red color car and showing all functions	a child and father dancing to the song watch me	a girl describing about the innerware that she is holding in her hands	3
video8137	a cartoon woman wakes up	a man is laughing on stage with some other actors	a man talks about making an avengers movie	a man is performing on stage with some other actors	a woman performs a song on a tv show while the judges look on	3
video7803	a person is commenting on a star wars clip	women showing chicken breast and adding salt and pepper on it	a female is walking a beach	a female is dancing on a beach	a sirector describes about his favourite movie to someone	2
video7804	a suit man talking about a new movie	people doing a dance rountine at fashion week	a man reviews a baby monitor	there is a machine operating someone in factory	a man advertises a baby monitor	4
video7805	a person sprayed fire extinguisher on a vehicle	person doing a trick on a motorcycle	a woman hugs another woman in a room	this person is making churros	a woman interviews another woman in a room	4
video7806	man playing a guitar	there is a video game with a dalmatian dog sitting underneath a green gem	a man showing a different way to make planting boxes	there are some people enjoying in a beach	there are some people dancing on a beach	3
video8132	a woman is advertising the features of a stroller	three cars travel slowly on a road while demonstrating their features	a woman is recording the features of a stroller	this is marvels agents of shield	kat von is putting on makeup on her face	0
video7808	a man looks at an alternator	lady gaga applause video	a man and woman sit to the left of a silver mid sized sedan	a man and woman stand to the left of a silver mid sized sedan	the boy danced with props	3
video8139	a man feeds a green bird standing on a perch	a group of tourists taking a picture on the road	men are tying nets together	ben stiller talks to a man wearing military gear in a jungle	a man feeds a green bird sitting on a perch	0
video8138	a person shows ingredients that s on the counter they poured in an ice tray	new poster for world war is shown and people are running from the city	new poster for world war is shown and people are dancing in the city	two people on motorbikes are talking	a character carrying a crowbar	1
video8795	a comedian does a sit-up routine on a stage	man and woman are having conversation on a sunny day	including a disfigured man with scraggly hair do various things	a comedian does a stand-up routine on a stage	a logo in front of a lake	3
video9998	a news reporter presses a political candidate on terrorism	a news reporter interviews a political candidate on terrorism	a man is using tools	a female singing on stage in front of a crowd	a couple talks about their dancing studio	1
video9999	plants vs zombies is being played	a woman on the news is talking about a story	a baby with pink dress crying in front of the camera	the avengers are doing superhero things	a baby with pink dress playing in front of the camera	4
video9994	the celebrations are held in the disnep channel	a chef stands with recipes and some people standing away listens to him	a boy dressed up in a superhero costume drives down a hallway	a boy dressed up in a superhero costume stands in a hallway	a person is braiding hair	3
video9995	people with dramatic music playing	children are eating food	a clip of scenes from a muppet babies show	a video game character is driving a car	people with dramatic music walking around	0
video9996	a man in dark clothing walks outside near buildings with clouds in the sky	a short clip showcasing a blue ninja bike	two pony s singing the song from the move frozen	a short clip driving a blue ninja bike	spanish horror movie trailer clip	1
video9990	man is putting some oil in the salad he made	a girl sitting in the dark room	this is a music viedo	a cartoon is holding a pipe	a cartoon is hanging from a pipe	4
video9991	a group of kids dancing	a person is playing guitar	a group of kids singing	someone is describing dna force	the lady is packing her luggage	0
video9992	group dancing and exercising to latin music	animated cooking video about making a meatloaf	a man talking of something about the cities in map	there are many people who enjoy surfing in the water	there are many people who enjoy swimming on the water	3
video9993	a girl speak how is this changing her masudhi and where is go	a person playing the guitar	a man is cooking at the stove	women are lined up looking at something or someone	a girl speak how is this pray her masudhi and where is go	4
video7246	a girl is singing on a stage	the woman in blue t shirt is talking about the parts of car	late night sneak peek preview	a tractor is driving around in the woods	a girl is dancing on a stage	0
video7247	there is a young man running with rugby ball	a little girl is running around in a park she sees a boy in a bicycle and pulls on his shirt	a person is playing game having gun and shouting the soliders	there is a young man falling down rugby ball	a man sitting on a chair and talking	0
video7244	video game commentary about driving a mixer	hillary clinton holds up the confederate flag	hillary clinton discussing the confederate flag	a man is in his room unboxing something electronic he bought	people are playingg match	2
video7240	a professor teaching a class	a man discussing world of warcraft strategy	video showcasing a man betting on a baseball game	a cannon is shooting out a plane in a video game	video showcasing a man pitching a baseball game	2
video7241	there is a man jumping in to a fight	an old men is dancing with a princess and all animals are also dancing with them	there is a man jumping in to a building	a woman is explaining how to do something on a computer	a man is dancing	2
video8643	a man is cooking and he is deep thinking about some dish	an animated man is talking to a rabbit	this is a video from the voice kids	a man is cooking and he is deep frying some dish	comment about a sports programme	3
video8642	a contestant wins a competition	a girl is making non veg in kitchen	a man run the room and see the mobile phone sms	there is a prawn dish in a plate	a contestant sings in a competition	4
